Chrom.1				
UV				
ml	mAU			
-15.954612	0.221275			
-15.941285	0.204758			
-15.927959	0.206107			
-15.914633	0.207497			
-15.901306	0.206933			
-15.88798	0.205308			
-15.874654	0.208281			
-15.861328	0.212264			
-15.848001	0.213631			
-15.834675	0.215902			
-15.821349	0.218992			
-15.808022	0.222396			
-15.794696	0.224067			
-15.78137	0.222785			
-15.768044	0.22638			
-15.754717	0.230075			
-15.741391	0.231825			
-15.728065	0.231292			
-15.714738	0.227567			
-15.701412	0.221194			
-15.688086	0.211837			
-15.67476	0.202438			
-15.661433	0.202659			
-15.648107	0.205361			
-15.634781	0.209198			
-15.621454	0.218249			
-15.608128	0.229783			
-15.594802	0.242444			
-15.581475	0.254239			
-15.568149	0.265253			
-15.554823	0.275486			
-15.541496	0.287228			
-15.528171	0.299973			
-15.514844	0.311308			
-15.501517	0.319493			
-15.488192	0.326729			
-15.474865	0.338093			
-15.461538	0.352064			
-15.448213	0.362686			
-15.434886	0.376299			
-15.421559	0.387462			
-15.408234	0.398985			
-15.394907	0.415236			
-15.38158	0.428724			
-15.368255	0.448193			
-15.354928	0.46605			
-15.341602	0.483783			
-15.328276	0.504532			
-15.314949	0.520325			
-15.301623	0.535169			
-15.288297	0.550327			
-15.27497	0.567717			
-15.261644	0.586493			
-15.248318	0.601978			
-15.234991	0.617984			
-15.221665	0.639755			
-15.208339	0.655902			
-15.195013	0.667563			
-15.181686	0.682163			
-15.16836	0.697164			
-15.155034	0.708675			
-15.141707	0.71715			
-15.128381	0.730076			
-15.115055	0.741121			
-15.101728	0.753274			
-15.088402	0.764105			
-15.075076	0.776339			
-15.061749	0.789041			
-15.048424	0.799472			
-15.035097	0.80695			
-15.02177	0.815188			
-15.008445	0.82202			
-14.995118	0.827153			
-14.981791	0.834054			
-14.968466	0.841549			
-14.955139	0.85052			
-14.941813	0.856974			
-14.928487	0.863421			
-14.91516	0.86937			
-14.901834	0.876621			
-14.888508	0.883572			
-14.875181	0.887028			
-14.861855	0.891615			
-14.848529	0.897324			
-14.835202	0.899591			
-14.821877	0.904314			
-14.80855	0.907537			
-14.795223	0.91085			
-14.781898	0.916151			
-14.768571	0.920872			
-14.755244	0.926856			
-14.741919	0.929848			
-14.728592	0.931574			
-14.715265	0.930702			
-14.70194	0.930653			
-14.688613	0.928911			
-14.675287	0.926201			
-14.661961	0.927043			
-14.648634	0.925391			
-14.635308	0.926159			
-14.621982	0.924697			
-14.608655	0.923589			
-14.595329	0.922988			
-14.582003	0.922803			
-14.568676	0.921806			
-14.55535	0.923082			
-14.542024	0.924502			
-14.528698	0.924174			
-14.515371	0.92473			
-14.502045	0.918305			
-14.488719	0.918136			
-14.475392	0.916427			
-14.462066	0.915468			
-14.44874	0.915423			
-14.435413	0.917922			
-14.422087	0.922594			
-14.408761	0.923248			
-14.395434	0.923602			
-14.382109	0.922132			
-14.368782	0.922384			
-14.355455	0.915214			
-14.34213	0.907863			
-14.328803	0.900337			
-14.315476	0.894712			
-14.302151	0.887998			
-14.288824	0.879158			
-14.275497	0.876598			
-14.262172	0.875429			
-14.248845	0.874655			
-14.235519	0.873357			
-14.222193	0.871078			
-14.208866	0.868604			
-14.19554	0.86953			
-14.182214	0.870149			
-14.168887	0.865485			
-14.155561	0.860295			
-14.142235	0.855128			
-14.128908	0.850926			
-14.115582	0.846005			
-14.102256	0.843589			
-14.08893	0.840732			
-14.075603	0.83863			
-14.062277	0.83557			
-14.04895	0.832357			
-14.035625	0.82923			
-14.022298	0.820932			
-14.008972	0.817625			
-13.995646	0.815119			
-13.982319	0.812569			
-13.968993	0.810158			
-13.955667	0.806533			
-13.942341	0.806632			
-13.929014	0.80242			
-13.915688	0.796526			
-13.902361	0.790752			
-13.889035	0.786141			
-13.875709	0.782556			
-13.862383	0.774863			
-13.849056	0.772098			
-13.83573	0.771868			
-13.822404	0.770618			
-13.809077	0.768697			
-13.795752	0.764458			
-13.782425	0.760026			
-13.769098	0.755809			
-13.755772	0.751465			
-13.742446	0.746593			
-13.729119	0.744094			
-13.715794	0.742988			
-13.702467	0.741472			
-13.68914	0.740652			
-13.675814	0.738479			
-13.662488	0.738536			
-13.649161	0.733886			
-13.635836	0.728164			
-13.622509	0.724073			
-13.609182	0.717802			
-13.595857	0.712828			
-13.58253	0.70605			
-13.569204	0.702384			
-13.555878	0.699047			
-13.542551	0.694003			
-13.529224	0.68962			
-13.515899	0.687489			
-13.502572	0.68545			
-13.489246	0.684181			
-13.47592	0.684993			
-13.462593	0.68431			
-13.449267	0.683084			
-13.435941	0.682083			
-13.422615	0.679484			
-13.409288	0.674034			
-13.395962	0.669367			
-13.382635	0.666736			
-13.369309	0.664025			
-13.355983	0.661682			
-13.342657	0.659914			
-13.32933	0.660702			
-13.316004	0.656927			
-13.302678	0.652871			
-13.289351	0.649431			
-13.276026	0.647647			
-13.262699	0.645202			
-13.249372	0.644144			
-13.236046	0.644862			
-13.22272	0.645369			
-13.209394	0.643438			
-13.196068	0.641408			
-13.182741	0.63631			
-13.169415	0.632193			
-13.156089	0.629849			
-13.142762	0.625621			
-13.129436	0.622874			
-13.11611	0.621566			
-13.102783	0.623042			
-13.089457	0.621681			
-13.076131	0.620572			
-13.062804	0.61963			
-13.049479	0.616508			
-13.036152	0.615517			
-13.022825	0.61459			
-13.0095	0.611376			
-12.996173	0.608121			
-12.982846	0.606818			
-12.969521	0.60904			
-12.956194	0.60892			
-12.942867	0.606839			
-12.929542	0.605256			
-12.916215	0.601515			
-12.902889	0.601238			
-12.889563	0.599928			
-12.876236	0.594933			
-12.862909	0.590426			
-12.849584	0.587107			
-12.836257	0.588473			
-12.822931	0.590063			
-12.809605	0.587936			
-12.796278	0.587985			
-12.782952	0.587996			
-12.769626	0.589415			
-12.7563	0.589055			
-12.742973	0.58624			
-12.729647	0.585142			
-12.71632	0.58328			
-12.702994	0.582587			
-12.689668	0.579115			
-12.676342	0.576689			
-12.663015	0.573427			
-12.649689	0.57063			
-12.636363	0.568831			
-12.623036	0.566677			
-12.609711	0.563814			
-12.596384	0.560481			
-12.583057	0.561605			
-12.569731	0.55889			
-12.556405	0.559901			
-12.543078	0.557019			
-12.529753	0.553355			
-12.516426	0.551972			
-12.503099	0.54811			
-12.489774	0.547765			
-12.476447	0.543891			
-12.463121	0.542609			
-12.449795	0.539989			
-12.436468	0.535197			
-12.423141	0.534057			
-12.409816	0.529273			
-12.396489	0.526196			
-12.383163	0.526294			
-12.369837	0.524673			
-12.35651	0.524119			
-12.343184	0.520074			
-12.329858	0.518011			
-12.316532	0.517854			
-12.303205	0.516293			
-12.289879	0.514563			
-12.276552	0.512705			
-12.263227	0.514611			
-12.2499	0.513201			
-12.236574	0.510682			
-12.223248	0.509551			
-12.209921	0.508254			
-12.196594	0.50495			
-12.183269	0.502597			
-12.169942	0.501887			
-12.156616	0.501813			
-12.14329	0.50099			
-12.129963	0.49782			
-12.116637	0.496337			
-12.103311	0.496285			
-12.089985	0.494513			
-12.076658	0.49292			
-12.063332	0.490842			
-12.050005	0.49006			
-12.036679	0.488879			
-12.023353	0.487546			
-12.010027	0.484419			
-11.9967	0.480736			
-11.983374	0.47863			
-11.970048	0.478778			
-11.956721	0.477269			
-11.943396	0.47627			
-11.930069	0.473993			
-11.916742	0.470067			
-11.903416	0.467302			
-11.89009	0.465043			
-11.876764	0.46186			
-11.863438	0.460522			
-11.850111	0.458458			
-11.836784	0.458356			
-11.823458	0.455874			
-11.810132	0.455151			
-11.796806	0.451198			
-11.78348	0.449113			
-11.770153	0.446234			
-11.756826	0.444722			
-11.743501	0.443313			
-11.730174	0.440228			
-11.716848	0.436279			
-11.703522	0.43562			
-11.690195	0.435958			
-11.676868	0.436476			
-11.663543	0.438417			
-11.650217	0.439906			
-11.63689	0.438476			
-11.623564	0.437959			
-11.610237	0.436185			
-11.596911	0.431643			
-11.583585	0.428832			
-11.570259	0.423739			
-11.556932	0.41985			
-11.543606	0.413604			
-11.530279	0.413306			
-11.516953	0.411879			
-11.503628	0.408936			
-11.490301	0.40691			
-11.476974	0.406017			
-11.463648	0.405697			
-11.450322	0.403272			
-11.436996	0.40239			
-11.42367	0.402952			
-11.410343	0.400832			
-11.397017	0.398456			
-11.38369	0.396932			
-11.370364	0.393486			
-11.357038	0.391073			
-11.343712	0.387853			
-11.330385	0.387365			
-11.317059	0.385268			
-11.303733	0.384681			
-11.290406	0.385777			
-11.277081	0.384382			
-11.263754	0.381317			
-11.250427	0.38105			
-11.237101	0.379634			
-11.223775	0.379008			
-11.210449	0.377677			
-11.197123	0.379751			
-11.183796	0.382563			
-11.170469	0.381126			
-11.157143	0.37839			
-11.143817	0.376032			
-11.130491	0.371104			
-11.117165	0.367277			
-11.103838	0.361125			
-11.090511	0.35917			
-11.077186	0.359458			
-11.063859	0.358164			
-11.050533	0.359586			
-11.037207	0.360604			
-11.02388	0.361477			
-11.010553	0.362405			
-10.997228	0.360424			
-10.983902	0.35729			
-10.970575	0.355433			
-10.957249	0.353455			
-10.943922	0.355305			
-10.930596	0.351726			
-10.91727	0.348431			
-10.903944	0.349503			
-10.890617	0.349231			
-10.877291	0.346744			
-10.863964	0.340122			
-10.850638	0.336769			
-10.837313	0.338608			
-10.823986	0.339432			
-10.810659	0.339691			
-10.797333	0.339515			
-10.784007	0.338802			
-10.77068	0.340437			
-10.757355	0.340164			
-10.744028	0.336082			
-10.730701	0.336017			
-10.717375	0.336393			
-10.704049	0.337377			
-10.690723	0.333659			
-10.677397	0.334652			
-10.66407	0.334565			
-10.650743	0.330031			
-10.637418	0.328559			
-10.624091	0.329409			
-10.610765	0.330934			
-10.597439	0.327721			
-10.584112	0.324925			
-10.570786	0.325285			
-10.55746	0.325897			
-10.544134	0.325626			
-10.530807	0.323017			
-10.517481	0.324157			
-10.504154	0.326156			
-10.490828	0.326306			
-10.477502	0.325281			
-10.464176	0.324533			
-10.45085	0.323843			
-10.437523	0.320886			
-10.424196	0.318072			
-10.410871	0.314453			
-10.397545	0.313543			
-10.384218	0.315377			
-10.370892	0.316735			
-10.357565	0.317902			
-10.344238	0.317313			
-10.330913	0.31824			
-10.317587	0.315512			
-10.30426	0.314302			
-10.290934	0.314154			
-10.277607	0.310364			
-10.264281	0.30889			
-10.250955	0.307834			
-10.237629	0.307991			
-10.224302	0.306925			
-10.210976	0.306943			
-10.197649	0.306483			
-10.184323	0.301606			
-10.170998	0.301152			
-10.157671	0.296039			
-10.144344	0.295352			
-10.131018	0.29217			
-10.117692	0.290992			
-10.104365	0.293191			
-10.09104	0.295187			
-10.077713	0.296708			
-10.064386	0.296533			
-10.05106	0.294775			
-10.037734	0.295045			
-10.024408	0.292958			
-10.011082	0.292991			
-9.997755	0.294154			
-9.984428	0.289392			
-9.971103	0.288279			
-9.957776	0.287617			
-9.94445	0.282836			
-9.931124	0.281727			
-9.917797	0.279267			
-9.90447	0.281762			
-9.891145	0.282019			
-9.877819	0.283054			
-9.864492	0.283836			
-9.851166	0.282359			
-9.837839	0.28058			
-9.824513	0.280831			
-9.811187	0.280085			
-9.797861	0.279493			
-9.784534	0.278414			
-9.771208	0.278681			
-9.757881	0.27811			
-9.744555	0.279339			
-9.73123	0.27831			
-9.717903	0.27756			
-9.704576	0.277526			
-9.69125	0.280163			
-9.677923	0.280342			
-9.664598	0.278185			
-9.651272	0.276326			
-9.637945	0.275098			
-9.624619	0.273125			
-9.611292	0.272112			
-9.597966	0.271308			
-9.58464	0.275587			
-9.571314	0.276564			
-9.557987	0.276742			
-9.544661	0.279214			
-9.531334	0.276471			
-9.518008	0.277554			
-9.504683	0.275523			
-9.491356	0.273984			
-9.478029	0.272633			
-9.464703	0.271809			
-9.451377	0.269499			
-9.43805	0.268063			
-9.424725	0.266007			
-9.411398	0.262637			
-9.398071	0.26201			
-9.384745	0.260612			
-9.371419	0.259749			
-9.358093	0.260925			
-9.344767	0.262771			
-9.33144	0.266373			
-9.318113	0.267152			
-9.304788	0.268543			
-9.291461	0.268172			
-9.278135	0.27066			
-9.264809	0.267248			
-9.251482	0.262757			
-9.238155	0.263158			
-9.22483	0.261929			
-9.211504	0.26139			
-9.198177	0.259959			
-9.184851	0.260141			
-9.171524	0.26163			
-9.158198	0.25857			
-9.144872	0.256701			
-9.131546	0.255648			
-9.118219	0.252399			
-9.104893	0.251445			
-9.091566	0.249581			
-9.07824	0.246387			
-9.064915	0.248049			
-9.051588	0.246537			
-9.038261	0.24777			
-9.024935	0.246549			
-9.011608	0.24493			
-8.998282	0.247573			
-8.984957	0.247463			
-8.97163	0.244979			
-8.958303	0.24481			
-8.944977	0.245833			
-8.931651	0.244014			
-8.918325	0.242992			
-8.904999	0.242262			
-8.891672	0.244692			
-8.878345	0.249261			
-8.865019	0.250118			
-8.851693	0.257161			
-8.838367	0.260105			
-8.825041	0.265251			
-8.811714	0.265523			
-8.798388	0.263622			
-8.785062	0.265421			
-8.771735	0.262143			
-8.75841	0.264361			
-8.745083	0.262661			
-8.731756	0.260634			
-8.71843	0.264614			
-8.705104	0.264041			
-8.691778	0.264444			
-8.678452	0.265015			
-8.665125	0.265584			
-8.651798	0.266231			
-8.638473	0.26336			
-8.625146	0.262966			
-8.61182	0.260716			
-8.598494	0.258381			
-8.585167	0.25122			
-8.57184	0.245428			
-8.558515	0.241368			
-8.545189	0.23474			
-8.531862	0.232044			
-8.518536	0.228652			
-8.505209	0.226747			
-8.491883	0.226108			
-8.478557	0.229071			
-8.465231	0.22788			
-8.451904	0.229209			
-8.438578	0.228499			
-8.425251	0.230719			
-8.411925	0.230646			
-8.3986	0.230341			
-8.385273	0.231643			
-8.371946	0.227803			
-8.35862	0.227358			
-8.345294	0.225259			
-8.331967	0.225344			
-8.318642	0.225434			
-8.305315	0.223512			
-8.291988	0.225597			
-8.278662	0.225477			
-8.265336	0.22637			
-8.25201	0.224997			
-8.238684	0.22415			
-8.225357	0.226078			
-8.21203	0.225316			
-8.198704	0.227802			
-8.185378	0.227638			
-8.172052	0.228338			
-8.158726	0.227227			
-8.145399	0.225964			
-8.132072	0.225774			
-8.118747	0.225548			
-8.10542	0.222057			
-8.092094	0.223372			
-8.078768	0.225474			
-8.065441	0.225946			
-8.052114	0.22289			
-8.038789	0.21993			
-8.025463	0.21966			
-8.012136	0.218097			
-7.99881	0.216588			
-7.985484	0.215538			
-7.972157	0.216932			
-7.958831	0.217857			
-7.945505	0.219047			
-7.932178	0.220956			
-7.918852	0.221067			
-7.905526	0.220454			
-7.8922	0.220143			
-7.878873	0.217392			
-7.865547	0.215527			
-7.852221	0.214926			
-7.838894	0.214425			
-7.825568	0.213305			
-7.812242	0.213429			
-7.798916	0.212479			
-7.785589	0.211855			
-7.772263	0.214444			
-7.758937	0.214613			
-7.74561	0.214654			
-7.732284	0.213197			
-7.718958	0.2115			
-7.705631	0.209395			
-7.692305	0.206029			
-7.678979	0.202636			
-7.665652	0.201758			
-7.652326	0.201793			
-7.639	0.201171			
-7.625673	0.203127			
-7.612348	0.203795			
-7.599021	0.203813			
-7.585694	0.204407			
-7.572369	0.203377			
-7.559042	0.203762			
-7.545715	0.205842			
-7.53239	0.207749			
-7.519063	0.2091			
-7.505736	0.206248			
-7.492411	0.206117			
-7.479084	0.205999			
-7.465758	0.201454			
-7.452432	0.196667			
-7.439105	0.193878			
-7.425779	0.192983			
-7.412453	0.192253			
-7.399126	0.191385			
-7.3858	0.189058			
-7.372474	0.192093			
-7.359147	0.19182			
-7.345821	0.187989			
-7.332495	0.187705			
-7.319169	0.187983			
-7.305842	0.188503			
-7.292516	0.189148			
-7.27919	0.187309			
