Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Fraction		"UV_CUT_TEMP@100,BASEM (1)"		Run Log	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Fraction	ml	mAU	ml	Logbook
-175.233002	0	-175.233002	7.299579	-175.233002	0	0.003235		-0.000366	4.C.3	0	-0.037457	-175.233002	Method Settings
-175.219681	-0.086636	-175.219681	7.217307	-175.216339	100			4.998489	4.C.4	0.013321	-0.037428	-175.2329	Equilibration
-175.206345	-0.086231	-175.206345	7.194328	-175.199677	100			9.999481	4.C.5	0.026657	-0.037399	-0.017334	Sample Application
-175.193024	-0.088398	-175.193024	7.194956	-175.183029	100			12.001831	Waste(Frac)	0.039978	-0.03737	12.001907	Elution
-175.179688	-0.089793	-175.179688	7.183478	-175.166367	100			12.011429	4.C.6	0.053314	-0.037341		
-175.166367	-0.090176	-175.166367	7.170649	-175.149704	100			17.012299	4.D.1	0.066635	-0.037312		
-175.153046	-0.092801	-175.153046	7.161015	-175.133041	100			22.011673	4.D.2	0.079956	-0.037283		
-175.139709	-0.099328	-175.139709	7.152802	-175.116394	100			27.010986	4.D.3	0.093292	-0.037253		
-175.126389	-0.110557	-175.126389	7.142873	-175.099731	100			32.01207	4.D.4	0.106613	-0.037224		
-175.113052	-0.16066	-175.113052	7.128613	-175.083069	100			37.011429	4.D.5	0.119949	-0.037195		
-175.099731	-0.29234	-175.099731	7.107463	-175.066406	100			42.012405	4.D.6	0.13327	-0.037166		
-175.086411	-0.523806	-175.086411	7.087098	-175.049759	100			47.011902	5.A.1	0.146591	-0.037137		
-175.073074	-0.866691	-175.073074	7.169859	-175.033096	100			52.012863	5.A.2	0.159927	-0.037109		
-175.059753	-1.312444	-175.059753	8.010297	-175.016434	100			57.012177	5.A.3	0.173248	-0.03708		
-175.046417	-1.841471	-175.046417	9.973013	-174.999771	100			62.013336	5.A.4	0.186584	-0.037051		
-175.033096	-2.390807	-175.033096	11.85383	-174.983124	100			67.01265	5.A.5	0.199905	-0.037022		
-175.019775	-2.879157	-175.019775	13.593328	-174.966461	100			72.013596	5.A.6	0.213226	-0.036993		
-175.006439	-3.247688	-175.006439	15.245191	-174.949799	100			77.013107	5.B.1	0.226563	-0.036964		
-174.993118	-3.448655	-174.993118	16.818665	-174.933136	100			82.01239	5.B.2	0.239883	-0.036936		
-174.979782	-3.460876	-174.979782	18.303684	-174.916489	100			87.013367	5.B.3	0.25322	-0.036907		
-174.966461	-3.297643	-174.966461	19.690416	-174.899826	100			92.012848	5.B.4	0.266541	-0.036878		
-174.95314	-3.001439	-174.95314	20.948599	-174.883163	100			97.013794	5.B.5	0.279861	-0.036849		
-174.939804	-2.62709	-174.939804	22.07114	-174.866501	100			102.013153	5.B.6	0.293198	-0.03682		
-174.926483	-2.226802	-174.926483	23.042231	-174.849838	100			107.012634	5.C.1	0.306519	-0.036791		
-174.913147	-1.84493	-174.913147	23.870737	-174.833191	100			112.01355	5.C.2	0.319855	-0.036762		
-174.899826	-1.516703	-174.899826	24.565487	-174.816528	100			117.012878	5.C.3	0.333176	-0.036733		
-174.886505	-1.252647	-174.886505	25.136192	-174.799866	100			122.014069	5.C.4	0.346497	-0.036704		
-174.873169	-1.052191	-174.873169	25.600872	-174.783203	100			127.013306	5.C.5	0.359833	-0.036675		
-174.859848	-0.895301	-174.859848	25.980949	-174.766556	100			132.014404	5.C.6	0.373154	-0.036646		
-174.846527	-0.76593	-174.846527	26.292086	-174.749893	100			137.013855	5.D.1	0.386475	-0.036617		
-174.833191	-0.655779	-174.833191	26.544329	-174.733231	100			142.01474	5.D.2	0.399811	-0.036588		
-174.81987	-0.557349	-174.81987	26.747288	-174.716568	100			147.014191	5.D.3	0.413132	-0.036558		
-174.806534	-0.470107	-174.806534	26.913204	-174.699921	100			152.013611	5.D.4	0.426468	-0.036528		
-174.793213	-0.386361	-174.793213	27.046709	-174.683258	100			157.014526	5.D.5	0.439789	-0.036498		
-174.779892	-0.303789	-174.779892	27.156353	-174.666595	100			162.013947	5.D.6	0.45311	-0.036468		
-174.766556	-0.226033	-174.766556	27.247118	-174.649933	100			167.015045	6.A.1	0.466446	-0.036438		
-174.753235	-0.156674	-174.753235	27.323185	-174.633286	100			172.014313	6.A.2	0.479767	-0.036408		
-174.739899	-0.094644	-174.739899	27.38715	-174.616623	100			177.015381	6.A.3	0.493103	-0.036378		
-174.726578	-0.035348	-174.726578	27.440727	-174.59996	100			182.014801	6.A.4	0.506424	-0.036348		
-174.713257	0.020395	-174.713257	27.482994	-174.583298	100			187.014038	6.A.5	0.519745	-0.036318		
-174.699921	0.076757	-174.699921	27.516306	-174.56665	100			192.015137	6.A.6	0.533081	-0.036288		
-174.6866	0.149515	-174.6866	27.543726	-174.549988	100			197.014618	6.B.1	0.546402	-0.036261		
-174.673264	0.246974	-174.673264	27.564472	-174.533325	100			202.015564	6.B.2	0.559738	-0.036234		
-174.659943	0.37624	-174.659943	27.582201	-174.516663	100			207.014923	6.B.3	0.573059	-0.036207		
-174.646622	0.539462	-174.646622	27.598837	-174.5	100			212.016022	6.B.4	0.58638	-0.036181		
-174.633286	0.731783	-174.633286	27.61319	-174.483353	100			217.01532	6.B.5	0.599716	-0.036154		
-174.619965	0.944615	-174.619965	27.626585	-174.46669	100			222.014709	6.B.6	0.613037	-0.036127		
-174.606628	1.174767	-174.606628	27.63863	-174.450027	100			227.015808	6.C.1	0.626373	-0.0361		
-174.593307	1.412636	-174.593307	27.650734	-174.433365	100			232.015106	6.C.2	0.639694	-0.036074		
-174.579987	1.649572	-174.579987	27.665718	-174.416718	100			237.016113	6.C.3	0.653015	-0.036047		
-174.56665	1.872037	-174.56665	27.684652	-174.400055	100			242.015564	6.C.4	0.666351	-0.03602		
-174.553329	2.07656	-174.553329	27.705536	-174.383392	100			247.016541	6.C.5	0.679672	-0.035991		
-174.539993	2.263535	-174.539993	27.723337	-174.36673	100			252.01593	6.C.6	0.693008	-0.035962		
-174.526672	2.427899	-174.526672	27.738455	-174.350082	100			257.01535	6.D.1	0.706329	-0.035933		
-174.513351	2.566455	-174.513351	27.752113	-174.33342	100			262.016327	6.D.2	0.71965	-0.035904		
-174.500015	2.68655	-174.500015	27.764244	-174.316757	100			267.015686	6.D.3	0.732986	-0.035875		
-174.486694	2.794449	-174.486694	27.774881	-174.300095	100			272.016785	6.D.4	0.746307	-0.035846		
-174.473358	2.893533	-174.473358	27.783789	-174.283447	100			277.016113	6.D.5	0.759644	-0.035817		
-174.460037	2.976992	-174.460037	27.79085	-174.266785	100			282.017181	6.D.6	0.772964	-0.035788		
-174.446716	3.048078	-174.446716	27.794033	-174.250122	100			287.016602	Waste(Frac)	0.786285	-0.035759		
-174.43338	3.116609	-174.43338	27.79517	-174.233459	100			287.492493	Waste(Frac)	0.799622	-0.03573		
-174.420059	3.171859	-174.420059	27.795391	-174.216812	100					0.812943	-0.035699		
-174.406723	3.216327	-174.406723	27.794451	-174.20015	100					0.826279	-0.035668		
-174.393402	3.249989	-174.393402	27.794168	-174.183487	100					0.8396	-0.035637		
-174.380081	3.277508	-174.380081	27.795151	-174.166824	100					0.852921	-0.035606		
-174.366745	3.30162	-174.366745	27.796764	-174.150162	100					0.866257	-0.035574		
-174.353424	3.318941	-174.353424	27.798401	-174.133514	100					0.879578	-0.035543		
-174.340088	3.331803	-174.340088	27.800037	-174.116852	100					0.892914	-0.035512		
-174.326767	3.341652	-174.326767	27.802992	-174.100189	100					0.906235	-0.035481		
